,Street,Postal Code,City,Conact Person,Phone,Website,Email
3i-deutschland-gesellschaft-fur-industriebeteiligungen-mbh,OpernTurm / Bockenheimer Landstr. 2-4,60306,Frankfurt a.M.,,"
+49 69 710000-0                                        ",http://www.3i.com,frankfurt@3i.com
advent-international-gmbh,Westhafenplatz 1,60327,Frankfurt a.M.,"
Ronald AylesSabine Pieroth                                        ","
+49 69 95527-00                                        ",http://www.adventinternational.de,www.adventinternational.de
allegra-capital-gmbh,Pachmayrplatz 11,81927,München,"
Dr. Hendrik Heinze                                        ","
+49 89 99536755                                        ",http://www.allegracapital.com,info@allegracapital.com
capnamic-ventures-management-gmbh,Kaiser-Wilhelm-Ring 26,50672,Köln,"
Christian SiegeleChristian KnottKristina PiljekNathalie Koenig                                        ","
+49 221 67781930                                        ",http://www.capnamic.com,info@capnamic.de
venturecapitalde-vc-gmbh-co-kgaa,,,,,,,
deutsche-beteiligungs-ag,Untermainanlage 1,60329,Frankfurt am Main,"
Roland Rapelius (Leiter Unternehmenskommunikation)                                        ","
+49 69 95787-01                                        ",http://www.dbag.de,roland.rapelius@dbag.de
neuhaus-partners-gmbh,Postfach 520327,22593,Hamburg,,"
+49 40 355282-0                                        ",http://www.NeuhausPartners.com,www.NeuhausPartners.com
earlybird-venture-capital,Münzstrasse 21,10178,Berlin,"
Catrin Schmidt                                        ","
+49 30467247020                                        ",http://www.earlybird.com,info@earlybird.com
ecapital-entrepreneurial-partners-ag,Hafenweg 24,48155,Münster,"
Bettina Schäfer                                        ","
+49 251 703767-0                                        ",http://www.ecapital.vc,info@ecapital.vc
gimv,Promenadeplatz 12,80333,München,"
Ronald Bartel                                        ","
+49 89 442327513                                        ",http://www.gimv.com,ronald.bartel@gimv.com
hcm-handwerk-capital-management-gmbh-co-kg,Heideweg 29a,25451,Quickborn,"
Franco Ottavio Mathias                                        ","
+49 4106 7742-0                                        ",http://www.hcminfo.de,hcm@hcminfo.de
high-tech-grunderfonds-management-gmbh,Schlegelstraße 2,53113,Bonn,,"
+ 49 228 82300-100                                        ",http://www.htgf.de,info@htgf.de
iris-capital,Potsdamer Platz,10785,Berlin,"
Curt Gunsenheimer                                        ","
+49 30 726 2111 24                                        ",http://www.iriscapital.com,contact@iriscapital.com
lbbw-venture-capital-gmbh,Königstr. 10 C,70173,Stuttgart,,"
+49 711 3058920-10                                        ",http://www.lbbwvc.de,future@lbbwvc.de
quadriga-capital-eigenkapitalberatung-gmbh,Hamburger Allee 4,60486,Frankfurt am Main,,"
+49 69 795000-0                                        ",http://www.quadriga-capital.de,contact@quadriga-capital.de
sirius-venture-partners-gmbh,Biebricher Allee 22,65187,Wiesbaden,"
Wolfram Glock                                        ","
+49 611 696699-0                                        ",http://www.sirius-venture.com,info@sirius-venture.com
trigon-equity-partners-gmbh,Zeppelinallee 77a,60487,Frankfurt am Main,"
Matthias C. Wimmer                                        ","
+49 69 15345489                                        ",http://www.trigonequity.com,info@trigonequity.com
unternehmertum-venture-capital-partners-gmbh,Lichtenbergstr. 6,85748,Garching,"
Dr. Ingo Potthof                                        ","
+49 89 189469-0                                        ",http://www.uvcpartners.com,pitch@uvcpartners.com
waterland-private-equity-gmbh,An der Alster 9,20099,Hamburg,,"
+49 40 2346 2600                                        ",http://www.waterland.de,info@waterland.de
yttrium-gmbh-vormals-digitalplus-gmbh,Sendlinger Str. 10,80331,München,"
Dr. Patrick Beitel                                        ","
+49 69 907 2019 40                                        ",https://yttrium.com/,patrick.beitel@yttrium.com
join-capital-gmbh,Strassburger Str. 55,10405,Berlin,"
Tobias Schirmer                                        ","
00493026565607                                        ",,info@join.capital
btov-partners,Neue Schönhauser Strasse 8,10178,Berlin,,,http://www.btov.vc,berlin@btov.vc
future-energy-ventures-management-gmbh,Brüsseler Platz 1,45131,Essen,"
Jan LozekInes Bergmann-Nolting                                        ","
+49 (0)162-2545999                                        ",http://www.fev.vc,contact@fev.vc
davidson-technology-growth-debt,Baruther Str.4,15806,Zossen,"
Eran DavidsonInga Schloms                                        ",,http://www.davidson-capital.com,www.davidson-capital.com
marondo-capital-gmbh,Paul-Heyse-Strasse 28,80336,München,"
Stefan Elsser (Stuttgart), Christopher Höfener (München), Marko Maschek (München), Hansjörg Ruof (Stuttgart)                                        ","
+49 (0)89 210 294 70                                        ",http://www.marondo.com,info@marondo.com
cavalry-ventures-management-gmbh,Novalisstraße 12,10115,Berlin,,,https://cavalry.vc/,/cavalry.vc/
pride-capital-gmbh,Kaiser-Wilhelm-Ring,50672,Köln,"
Philipp Urbach                                        ","
+49 221 4291 4250                                        ",http://www.pridecapital.de,info@pridecapital.de
up2invest,Am Sandtorkai 70,20457,Hamburg,"
Team Head VC/PE                                        ","
+49 40 88178-218                                        ",http://www.UP2INVEST.de,Contact@UP2INVEST.de
creditshelf-ag,Mainzer Landstraße 33a,60329,Frankfurt am Main,"
Jan Stechele, Dr. Daniel Bartsch, Dr. Tim Thabe                                        ","
+49 69 348 772 413                                         ",http://www.creditshelf.com,birgit.hass@creditshelf.com
sgt-german-private-equity-gmbh-co-kgaa,c/o SGT German Private Equity Management GmbH,60325,Frankfurt am Main,"
Christoph GerlingerCarsten Geyer                                        ","
069348690520                                        ",http://www.sgt-germanpe.com,info@sgt-germanpe.com
ekkio-capital,7-9 Rue la Boétie,75008,Paris,"
Martin Böß, Jean-Baptiste Liban                                        ","
0033184171600                                        ",https://www.ekkio.fr/,mboess@ekkio.fr
cadence-growth-capital-gmbh,Zimmerstraße 79-80,10117,Berlin,"
Sebastian Eiseler & Leonard Clemens                                        ",,http://Cadencegrowthcapital.com,Sebastian.Eiseler@cadencegrowthcapital.com
signature-ventures,Rosenheimer Str. 18,85653,Aying,"
Juliane HahnDr. Georg StrickerNikolai Graf Lambsdorff                                        ",,http://www.signatureventures.com,contact@signatureventures.com
ecm-equity-capital-management-gmbh,Taunusanlage 18,60325,Frankfurt am Main,,"
+49 69 97102-0                                        ",http://www.ecm-pe.de,info@ecm-pe.de
stemas-ag,Brienner Str. 7,80333,München,"
Stefan HasperThomas Müsch                                        ","
+49 89 20500600                                        ",http://www.stemas.de,kontakt@stemas.de
ardian-germany-gmbh,An der Welle 4,60322,Frankfurt am Main,"
Florian Kluge                                        ","
+49 69 505 04 15-62                                        ",https://www.ardian.com/,clientservicing@ardian.com
genius-venture-capital-gmbh,Hagenower Str. 73,19061,Schwerin,"
Dipl.- Ing. Uwe BräuerMartin SchwarzIvonne Jarschke-Kron                                        ","
+49 385 3993-500                                        ",http://www.genius-vc.de,info@genius-vc.de
ibb-beteiligungsgesellschaft-mbh,Bundesallee 210,10719,Berlin,"
Roger BendischMarco Zeller                                        ","
+49 30 2125-3201                                        ",http://www.ibbventures.de,info@ibbventures.de
silver-investment-partners-gmbh-co-kg,Am Neuenhainer Wald 2,61462,Königstein,"
Philipp Amereller, Matthias Loos                                        ","
+49 6174 913800                                        ",http://www.silver-ip.com,info@silver-ip.com
bm-t-beteiligungsmanagement-thuringen-gmbh,Gorkistr. 9,99084,Erfurt,"
Kevin Reeder                                        ","
+49 361 7447-601                                        ",http://www.bm-t.com,info@bm-t.com
eric-fund-management-gmbh,Oranienstr. 10/11,10997,Berlin,"
Nikolas Samios                                        ","
+493060988900                                        ",https://proptech1.ventures/,info@proptech1.ventures
novum-capital-management-gmbh-co-kg,Friedrichstraße 31-33,60323,Frankfurt am Main,"
Katrin Schwarz                                        ","
+49 69 2475251-0                                        ",http://www.novumcapital.com/,kschwarz@novumcapital.com
flex-capital-management-gmbh,Münzstraße 21,10178,Berlin,"
Christoph JostPeter Waleczek                                        ",,https://flex.capital/,info@flex.capital
verdane-advisors-gmbh,Rosenstraße 19,10178,Berlin,,,http://www.verdane.com,info@verdane.com
africinvest,,,,"
Aziz MebarekKhaled Ben JilaniAnn WymanPatrick Herrmann                                        ","
+21671189800                                        ",http://www.africinvest.com,contact@africinvest.com
capvis-ag,Grabenstrasse 17,6340,Baar,"
Julie Darbellay, Head of Investor RelationsDaniel Flaig, Managing PartnerAndré Perwas, Partner, Advanced Services & Software                                        ","
+41 43 300 58 58                                        ",http://www.capvis.com,info@capvis.com
lea-partners-gmbh,An der Raumfabrik 10,76227,Karlsruhe,"
Sebastian Müller                                        ","
+49 721 13 208-710                                         ",https://www.leapartners.de/,sebastian.mueller@leapartners.de
emh-partners-gmbh,Dienerstraße 12,80331,München,,"
+49 89 238 868 0                                        ",https://www.emh.com,info@emh.com
matterwave,Liebigstraße 8,80538,München,"
Benedikt KronbergerRobert GallenbergerDr. Christian ReitbergerUte Theel                                        ","
08928673245                                        ",https://matterwave.vc/,info@matterwave.vc
basf-venture-capital-gmbh,"Benckiserplatz, BE 1",67059,Ludwigshafen,"
Markus Solibieda                                        ","
+49 62160 76801                                        ",http://www.basf-venture-capital.de,michaela.kemper@basf.com
allianz-capital-partners-gmbh,Seidlstraße 24-24a,80335,München,"
Andrew CoxMichael LindauerDr. Michael Pfennig                                        ","
+49 89 1220-8200                                        ",http://www.allianzcapitalpartners.com,contact@allianzcapitalpartners.com
investitionsbank-des-landes-brandenburg-ilb,Babelsberger Straße 21,14473,Potsdam,"
Olav WilmsThomas Krause                                        ","
+49 331 6601698                                        ",https://www.ilb.de/de/wir-ueber-uns/beteiligungen/,brandenburg-kapital@ilb.de
the-blackstone-group-lp,,,,,,,
bpe-4-unternehmensbeteiligungen-gmbh,Schleusenbrücke 1 / Ecke Neuer Wall,20354,Hamburg,,"
+49 40 361570-0                                        ",http://www.bpe.de,info@bpe.de
cbg-commerz-beteiligungskapital-gmbh-co-kg,Mainzer Landstraße 153,60327,Frankfurt a.M.,"
Klaus SachseStephan Klier                                        ","
+49 69 136 85190 / 136 29224                                        ",http://www.cbg.commerzbank.de,cbg@commerzbank.com
cvc-capital-partners,Bockenheimer Landstr. 24,60323,Frankfurt a.M.,"
Karin Drnec                                        ","
+49 69 975835-0                                        ",http://www.cvc.com,kdrnec@cvc.com
engelhardt-kaupp-kiefer-co-investment-gmbh,Marienstraße 39,70178,Stuttgart,,"
+49 711 518 764 0                                        ",http://www.ekkco.de,info@ekkco.de
coi-partners-capital-management-ag,Bockenheimer Landstraße 51-53,60325,Frankfurt a.M.,"
Dr. Farsin YadegardjamJulian KohlJan Claussen                                        ","
+49 403 2597 0                                        ",http://www.coi-partners.com,f.yadegardjam@coi-partners.com
dmb-deutsche-mittelstand-beteiligungen-gmbh,Colonnaden 25,20354,Hamburg,"
Peter WelgeJens Röhr                                        ","
+49 40 374834-0                                        ",http://www.dmb-beteiligungen.de,info@dmb-beteiligungen.de
evonik-venture-capital-gmbh,Rodenbacher Chaussee 4,63457,Hanau,"
Jonas Ide                                        ","
+49 6181 59 12277                                        ",http://www.evonik-vc.com,jonas.ide@evonik.com
fidura-private-equity-fonds,Schloßstraße 23,82031,Grünwald,"
Dipl.- Ing. Ingrid Weil                                        ","
+49 89 238898-15                                        ",https://www.fidura.de,info@fidura.de
finatem-beteiligungsgesellschaft,Feldbergstraße 35,60323,Frankfurt a.M.,"
Christophe HemmerleDr. Robert Hennigs                                        ","
+49 69 509564-0                                        ",http://www.finatem.de,info@finatem.de
rivean-capital-advisory-gmbh,Ulmenstraße 30,60325,Frankfurt am Main,"
Herr Matthias WilckenHerr Andreas Klab                                        ","
+49 69 2731 566 0                                        ",http://www.riveancapital.com,frankfurt@riveancapital.com
haspa-beteiligungsgesellschaft-fur-den-mittelstand-mbh,Herrengraben 1,20459,Hamburg,"
Kristin Gebel                                        ","
+49 40 8222095-60                                        ",http://www.haspa-bgm.de,k.gebel@haspa-bgm.de
hig-european-capital-partners-gmbh,,,,,,,
kfw-,Palmengartenstr. 5-9,60325,Frankfurt a.M.,"
Frankfurt: Jochen EichmannBonn: Birgit Brück                                        ","
+49 69/ 7431-9196 oder +49 0228/831- 7079                                        ",http://www.kfw.de,info@kfw.de
kohlberg-kravis-roberts-gmbh,Maintor Panorama,60311,Frankfurt am Main,"
Christian Ollig                                        ","
+49 69 80 88 35 80                                        ",http://www.kkr.com,www.kkr.com
kshcp,ABC-Straße 15,20354,Hamburg,"
Christoph Heyke                                        ","
040 21107803                                        ",http://www.ksh-ag.de,p.bonatz@ksh-ag.com
odewald-kmu-ii-gesellschaft-fur-beteiligungen-mbh,Französische Straße 8,10117,Berlin,"
Joachim von Ribbentrop                                        ","
+49 30 201723-0                                        ",http://www.odewaldkmu.com,info@odewaldkmu.com
pai-partners-gmbh,Luisenstr. 14,80333,München,"
Dr. Mirko Meyer-SchönherrNikolai von Loeper                                        ","
+49 89 5151465-0                                        ",http://www.paipartners.com,mirko.meyer-schoenherr@paipartners.com
peppermint-venturepartners-gmbh,Kurfürstendamm 21,10719,Berlin,"
Dr. Klaus StöckemannDr. Joachim Rautter                                        ","
+49 30 590064-440                                        ",https://www.pvp.health,info@peppermint-vp.com
permira-beteiligungsberatung-gmbh,Bockenheimer Landstr. 33,60325,Frankfurt a.M.,"
Dr. Jörg Rockenhäuser                                        ","
+49 (0)69 971466-0                                        ",http://www.permira.com,www.permira.com
sanemus-ag,Mannhardtstrasse 6,80538,München,"
Michael Thiess                                        ","
+49 171 603 20 76                                        ",http://www.sanemus.com,sonja.terszowski@sanemus.com
s-beteiligungsgesellschaft-der-kreissparkasse-munchen-starnberg-mbh,Sendlinger-Tor-Platz 1,80336,München,,"
089 8012534                                        ",,ollapse
sobera-capital-gmbh,Markgrafenstr. 33,10117,Berlin,"
Dr. Stefan BeilJohannes Rabini                                        ","
+49 30 5770883-72                                        ",http://www.sobera-capital.com,info@sobera-capital.com
altamarcam-partners-/-cam-alternatives-gmbh,,,,,,,
triton-beratungsgesellschaft-gmbh,Große Gallusstraße 18,60312,Frankfurt am Main,,"
+49 69 921020                                        ",http://www.triton-partners.de,www.triton-partners.de
tvm-capital-life-science-,Ottostrasse 4,80333,München,,"
+49 89 998992-00                                        ",http://www.tvm-lifescience.com/,info@tvm-capital.de
wellington-partners-gmbh,Türkenstrasse 5,80333,München,"
Regina HoditsHarald Keller                                        ","
+49 89 219941-0                                        ",http://www.wellington-partners.com,info@wellington-partners.com
vr-equitypartner-gmbh,Platz der Republik,60265,Frankfurt,"
Christian FutterliebPeter SachseKerstin Murmann                                        ","
+49 69 710 476 - 0                                        ",http://www.vrep.de,mail@vrep.de
coparion-gmbh-co-kg,Ottoplatz 6,50679,Köln,"
David Zimmer                                        ","
030 58 58 44 00                                        ",http://www.coparion.vc,info@coparion.vc
portfolio-advisors-llc,Brandschenkestr. 4,8001,Zürich,"
Peter Schwanitz, Nicolas von der Schulenburg, Dirk Lienemann                                        ","
+41 44 200 3500                                        ",http://www.portad.com,zurich@portad.com
vendis-capital-management-bvba,Jan Emiel Momaertslaan 22 - Box 5,1831,Diegem (Brüssel),"
Alexander Matthes                                        ","
01743035973                                        ",http://www.vendiscapital.com,am@vendiscapital.com
swancap-partners-gmbh,Montgelasstr. 14,81679,München,"
Miryan OhlendorfAdabel Larsen                                        ","
+49 (0) 89 809 1316 0                                        ",http://www.swancap.eu,miryan.ohlendorf@swancap.eu
hq-capital-,Am Pilgerrain 17,61352,Bad Homburg,"
Ferdinand von SydowUlrich von Rotenhan                                        ","
06172 402 801                                        ",http://www.hqcapital.com,mareike.krohn@hqcapital.com
th-capital,"18F, Bldg B, PingAn Int. Financial Center",100027,Beijing,,"
+86-10-59761122                                        ",http://www.thcapital.com.cn,ratzel.rafael@thcapital.com.cn
neuberger-berman-asset-management-ireland-limited-german-branch,"Eurotheum, Neue Mainzerstr. 66-68",60311,Frankfurt,"
Christian PuschmannMirko Mertens                                        ","
+49 69 365075900                                        ",http://nb.com,christian.puschmann@nb.com
eqt-life-sciences,,,,,,,
dccp-deutsche-credit-gmbh,Siesmayerstrasse 44,60323,Frankfurt am Main,"
Dr. Nicolaus Loos                                        ","
+49-151-240-35601                                        ",https://www.deutschecredit.eu,nicolaus.loos@deutschecredit.eu
415-capital-management-gmbh,Bahnhofstrasse 32,82041,Oberhaching,"
Frederik Groenewegen                                        ","
0160 415 415 1                                        ",http://www.415capital.com,info@415capital.com
innofincenta-gmbh,Schillerstr. 2,60313,Frankfurt am Main,"
Jochen FriedrichMark Lippert                                        ","
+49 69 2474 885 88                                        ",http://www.innofincenta.com,kontakt@innofincenta.com
schroders-capital-management-switzerland-ag,Affolternstrasse 56,CH 8050,Zürich,"
Angela Kehrli                                        ","
+41 58 445 55 08                                        ",,angela.kehrli@schroders.com
brawo-capital-gmbh,Willy-Brandt-Platz 16-20,38102,Braunschweig,"
Thomas Zechner, Georg Henze                                        ","
+49 531 7005-1610                                        ",https://brawo-capital-group.de,info@brawo-cm.de
grazia-equity-gmbh,Falkertstraße 10,70176,Stuttgart,,,http://www.grazia.com,info@grazia.com
hq-equita-gmbh,Am Pilgerrain 15,61352,Bad Homburg,,"
+49617294410                                        ",http://www.hqequita.com,info@hqequita.com
brightpont-capital-invest-gmbh,Hopfenmarkt 33,20457,Hamburg,,"
+49 40 98660176-0                                        ",http://www.brightpoint-group.com,contact@brightpoint-group.com
stanley-ventures,Max-Eyth-Strasse 1,35394,Giessen,"
Sean Wright                                        ","
+4915222765105                                        ",http://www.stanleyventures.com,sean@cardencapital.com
vecturis-equity-gmbh,Ohmstr. 13,80802,Munich,"
Matthias Hinterleitner                                        ","
+498924416470                                        ",https://vecturis-equity.com,info@vecturis-equity.com
blueribbon,Leopold Straße 37,80802,München,"
Marco JanezicSimona Schindler                                        ","
+49 (89) 2155 1842 – 4                                        ",https://blueribbon.de/,info@blueribbon.de
kkl-vermogensverwaltung-gmbh,Ludwigstrasse 8,80539,München,"
Gregor Groeger                                        ","
+49 172 8973319                                        ",http://www.kkl-invest.com,gregor.groeger@kkl-invest.com
eurazeo,Kettenhofweg 51,60325,Frankfurt am Main,,,http://eurazeo.com,eurazeo.com
argos-wityu-gmbh,Neue Mainzer Straße 52-58,60311,Frankfurt am Main,"
Frank HermannDr. Fabian Söffge                                        ","
069597721730                                        ",http://www.argos.fund,admin.frankfurt@argos.fund
rag-stiftung-,Im Welterbe 10,45145,Essen,"
Timo BartellEberhard Vetter                                        ","
004916097581363                                        ",http://www.rag-stiftung.de,timo.bartell@rag-stiftung.de
scalehouse-capital-management-gmbh,Friedrich-Janssen-Straße 1,49076,Osnabrück,"
Jesse Jeng                                        ","
+4915254162489                                        ",http://www.scalehouse-capital.com,jesse.jeng@scalehouse-capital.com
wam-verwaltung-gmbh,Maybachstr. 37,51381,Leverkusen,"
Nikola von Pattay                                        ",,,ollapse
